wmo,regiao,uf,estacao,latitude,longitude,altitude,data_de_fundacao,source_file
A309,NE,PE,ARCO VERDE,"-8,4336111","-37,05555555","683,95",20/11/04,inmet_NE_PE_A309_ARCO-VERDE_01-01-2024_A_31-12-2024_dados.csv
A328,NE,PE,SURUBIM,"-7,83972221","-35,80111111","421,44",09/03/08,inmet_NE_PE_A328_SURUBIM_01-01-2024_A_31-12-2024_dados.csv
A329,NE,PE,CABROBO,"-8,50388888","-39,31527777","342,74",04/09/07,inmet_NE_PE_A329_CABROBO_01-01-2024_A_31-12-2024_dados.csv
A341,NE,PE,CARUARU,"-8,36527777","-36,02833332",852,21/11/07,inmet_NE_PE_A341_CARUARU_01-01-2024_A_31-12-2024_dados.csv
A349,NE,PE,IBIMIRIM,"-8,50944444","-37,71166666","434,23",14/10/08,inmet_NE_PE_A349_IBIMIRIM_01-01-2024_A_31-12-2024_dados.csv
A350,NE,PE,SERRA TALHADA,"-7,95416666","-38,29499999","499,02",09/07/08,inmet_NE_PE_A350_SERRA-TALHADA_01-01-2024_A_31-12-2024_dados.csv
A351,NE,PE,FLORESTA,"-8,59888888","-38,58416666","327,42",15/09/08,inmet_NE_PE_A351_FLORESTA_01-01-2024_A_31-12-2024_dados.csv
A357,NE,PE,PALMARES,"-8,66666666","-35,56805554","164,01",04/09/08,inmet_NE_PE_A357_PALMARES_01-01-2024_A_31-12-2024_dados.csv
A366,NE,PE,OURICURI,"-7,88583333","-40,10277777","457,85",11/08/10,inmet_NE_PE_A366_OURICURI_01-01-2024_A_31-12-2024_dados.csv
A370,NE,PE,SALGUEIRO,"-8,05805555","-39,0961111",447,15/09/17,inmet_NE_PE_A370_SALGUEIRO_01-01-2024_A_31-12-2024_dados.csv
A308,NE,PI,PARNAIBA,"-3,08666666","-41,78305554","52,11",06/02/03,inmet_NE_PI_A308_PARNAIBA_01-01-2024_A_31-12-2024_dados.csv
A311,NE,PI,FLORIANO,"-6,76138888","-43,00333333","126,39",18/11/04,inmet_NE_PI_A311_FLORIANO_01-01-2024_A_31-12-2024_dados.csv
A312,NE,PI,TERESINA,"-5,03472221","-42,80138888","75,23",24/11/04,inmet_NE_PI_A312_TERESINA_01-01-2024_A_31-12-2024_dados.csv
A326,NE,PI,BOM JESUS DO PIAUI,"-9,07999999","-44,32777777",288,17/07/07,inmet_NE_PI_A326_BOM-JESUS-DO-PIAUI_01-01-2024_A_31-12-2024_dados.csv
